Song,Album debut,Songwriter(s),Lead vocal(s),Year,Notes,Ref(s)
"""Drive My Car""","UK: Rubber Soul
US: Yesterday and Today","McCartney
(with Lennon)","McCartney
(with Lennon)",1965,,[41][6]
"""Eight Days a Week""","UK: Beatles for Sale
US: Beatles VI","McCartney
(with Lennon)","Lennon
(with McCartney)",1964,US single only,[42][24]
"""Eleanor Rigby""",Revolver,"McCartney
(with Lennon)",McCartney,1966,,[43]
"""The End""",Abbey Road,McCartney,McCartney[44],1969,,[34]
"""Etcetera""",Unreleased,McCartney,McCartney,1968,,
"""Every Little Thing""","UK: Beatles for Sale
US: Beatles VI",McCartney,"Lennon
(with McCartney)",1964,,[42][39]
"""Everybody's Got Something to Hide Except Me and My Monkey""",The Beatles,Lennon,Lennon,1968,,[29]
"""Everybody's Trying to Be My Baby""","UK: Beatles for Sale
US: Beatles '65",Carl Perkins,Harrison,1964,Cover,[42][45]
"""Fixing a Hole""",Sgt. Pepper's Lonely Hearts Club Band,McCartney,McCartney,1967,,[28]
"""Fancy My Chances with You""",Let It Be... Naked - Fly on the Wall bonus disc,"Lennon
McCartney","Lennon
McCartney",1969,,
"""Flying""",Magical Mystery Tour,"Lennon
McCartney
Harrison
Starr",Instrumental,1967,,[31]
"""The Fool on the Hill""",Magical Mystery Tour,McCartney,McCartney,1967,,[31]
"""For No One""",Revolver,McCartney,McCartney,1966,Featuring Alan Civil on French horn,[13]
"""For You Blue""",Let It Be,Harrison,Harrison,1969,,[46]
"""Free as a Bird""",Anthology 1,"Lennon
McCartney
Harrison
Starr","Lennon, McCartney and Harrison",1977,,
"""From Me to You""","UK: A Collection of Beatles Oldies
US: 1962–1966","Lennon
McCartney","Lennon
McCartney",1963,Non-album single,[47]
"""From Us to You""",Live at the BBC,"Lennon
McCartney","Lennon
McCartney",1963,,
"""Get Back""",Let It Be,McCartney,McCartney,1969,,[46]
"""Getting Better""",Sgt. Pepper's Lonely Hearts Club Band,"McCartney
(with Lennon)","McCartney
(with Lennon)",1967,,[28]
"""Girl""",Rubber Soul,Lennon,Lennon,1965,,[48]
"""Glad All Over""",Live at the BBC,"Roy C. Bennett
Sid Tepper
Aaron Schroeder",Harrison,1963,Cover,
"""Glass Onion""",The Beatles,Lennon,Lennon,1968,,[22]
"""Golden Slumbers""",Abbey Road,McCartney[32],McCartney[33],1969,,[27]
"""Good Day Sunshine""",Revolver,"McCartney
(with Lennon)",McCartney,1966,,[13]
"""Good Morning Good Morning""",Sgt. Pepper's Lonely Hearts Club Band,Lennon,Lennon,1967,McCartney plays guitar solo,[36]
"""Good Night""",The Beatles,Lennon,Starr,1968,,[35]
"""Goodbye""",,McCartney,McCartney,1969,,
"""Got to Get You into My Life""",Revolver,McCartney,McCartney,1966,,[13]
"""Hallelujah, I Love Her So""",Anthology 1,Ray Charles,McCartney,1960,Cover,
"""Happiness Is a Warm Gun""",The Beatles,Lennon,Lennon,1968,,[22]
"""A Hard Day's Night""","UK: A Hard Day's Night
US: 1962–1966","Lennon
(with McCartney)","Lennon
(with McCartney)",1964,,[11]
"""Heather""",,McCartney,McCartney,1968,Donovan plays on the demo,
"""Hello, Goodbye""",Magical Mystery Tour,McCartney,McCartney,1967,,[10]
"""Hello Little Girl""",Anthology 1,Lennon,Lennon,1962,"Recorded by The Fourmost
released August 1963",
"""Help!""",Help!,"Lennon
(with McCartney)",Lennon,1965,,[16]
"""Helter Skelter""",The Beatles,McCartney,McCartney,1968,Featuring Starr with shouted words in stereo version,[29]
"""Her Majesty""",Abbey Road,McCartney,McCartney,1969,,[27]
"""Here Comes the Sun""",Abbey Road,Harrison,Harrison[49],1969,,[27]
"""Here, There and Everywhere""",Revolver,McCartney,McCartney,1966,,[43]
"""Hey Bulldog""",Yellow Submarine,Lennon,"Lennon
(with McCartney)",1968,,[9]
"""Hey Jude""","UK: 1967–1970
US: Hey Jude",McCartney,McCartney,1968,,
"""Hippy Hippy Shake""",Live at the BBC,Chan Romero,McCartney,1963,Cover,
"""Hold Me Tight""","UK: With the Beatles
US: Meet the Beatles!","McCartney
(with Lennon)",McCartney,1963,,[37][40]
"""Honey Don't""","UK: Beatles for Sale
US: Beatles '65",Carl Perkins,Starr,1964,Cover,[42][45]
"""Honey Pie""",The Beatles,McCartney,McCartney,1968,,[35]
"""The Honeymoon Song""",Live at the BBC,"Mikis Theodorakis
Sansom",McCartney,1963,Cover,
"""How Do You Do It?""",Anthology 1,Mitch Murray,Lennon,1962,Cover,
"""I Am the Walrus""",Magical Mystery Tour,Lennon,Lennon,1967,,[31]
"""I Call Your Name""","UK: ""Long Tall Sally"" EP
US: The Beatles' Second Album",Lennon,Lennon,1964,"First release by Billy J Kramer with the Dakotas
(July 1963)",[50][51]
"""I Don't Want to Spoil the Party""","UK: Beatles for Sale
US: Beatles VI",Lennon,"Lennon, with McCartney",1964,,[42][24]
"""I Feel Fine""","UK: A Collection of Beatles Oldies
US: Beatles '65",Lennon,Lennon,1964,Non-album single,[47][45]
"""I Forgot to Remember to Forget""",Live at the BBC,Stan Kesler and Charlie Feathers,Harrison,1964,Cover,
"""I Got a Woman""",Live at the BBC,Ray Charles,Lennon,1963,Cover,
"""I Got to Find My Baby""",Live at the BBC,Chuck Berry,Lennon,1963,Cover,
"""I Just Don't Understand""",Live at the BBC,"Marijohn Wilkin
Kent Westberry",Lennon,1963,Cover,
"""I Lost My Little Girl""",,McCartney,Lennon,1962,,
"""I Me Mine""",Let It Be,Harrison,Harrison,1970,,[4]
"""I Need You""",Help!,Harrison,Harrison,1965,,[16]
"""I Saw Her Standing There""","UK: Please Please Me
US: Meet the Beatles!","McCartney
(with Lennon)","McCartney
(with Lennon)",1963,,[15][8]
"""I Should Have Known Better""","UK: A Hard Day's Night
US: Hey Jude",Lennon,Lennon,1964,,[11]
"""I Wanna Be Your Man""","UK: With the Beatles
US: Meet the Beatles!","McCartney
(with Lennon)",Starr,1963,Written for the Rolling Stones,[37][40]
"""I Want to Hold Your Hand""","UK: A Collection of Beatles Oldies
US: Meet the Beatles!","Lennon
McCartney","Lennon
McCartney",1963,,[23][8]
"""I Want to Tell You""",Revolver,Harrison,Harrison,1966,,[13]
"""I Want You (She's So Heavy)""",Abbey Road,Lennon,Lennon[52],1969,,[34]
"""I Will""",The Beatles,McCartney,McCartney,1968,,[30]
"""If I Fell""","UK: A Hard Day's Night
US: Something New",Lennon,"Lennon
(with McCartney)",1964,,[11][12]
"""If I Needed Someone""","UK: Rubber Soul
US: Yesterday and Today",Harrison,Harrison,1965,,[48][14]
"""If You've Got Trouble""",Anthology 2,"Lennon
McCartney",Starr,1965,,
"""I'll Be Back""","UK: A Hard Day's Night
US: Beatles '65",Lennon,Lennon and McCartney),1964,,[17][45]
"""I'll Be on My Way""",Live at the BBC,McCartney,Lennon,1963,"Single by Billy J Kramer with the Dakotas
(April 1963)",
"""I'll Cry Instead""","UK: A Hard Day's Night
US: Something New",Lennon,Lennon,1964,,[17][18]
"""I'll Follow the Sun""","UK: Beatles for Sale
US: Beatles '65",McCartney,"McCartney
(with Lennon)",1964,,[20][21]
"""I'll Get You""","UK: Past Masters Volume 1
US: The Beatles' Second Album","Lennon
McCartney","Lennon
(with McCartney)",1963,"Non-album single
B-side of ""She Loves You""",[51]
"""I'm a Loser""","UK: Beatles for Sale
US: Beatles '65",Lennon,Lennon,1964,,[20][21]
"""I'm Down""",Rock 'n' Roll Music,McCartney,McCartney,1965,"Non-album single
B-side of ""Help!""",
"""I'm Gonna Sit Right Down and Cry (Over You)""",Live at the BBC,"Joe Thomas
Howard Biggs",Lennon,1963,Cover,
"""I'm Happy Just to Dance with You""","UK: A Hard Day's Night
US: Something New","Lennon
McCartney",Harrison,1964,,[11][12]
"""I'm In Love""",The Beatles Bootleg Recordings 1963,Lennon,Lennon,1963,"Written for The Fourmost
(single released November 1963)",
"""I'm Looking Through You""",Rubber Soul,McCartney,"McCartney
(with Lennon)",1965,,[48]
"""I'm Only Sleeping""","UK: Revolver
US: Yesterday and Today",Lennon,Lennon,1966,,[43][6]
"""I'm So Tired""",The Beatles,Lennon,Lennon,1968,,[30]
"""I'm Talking About You""","Live! at the Star-Club in Hamburg, Germany; 1962",Chuck Berry,Lennon,1962,Cover,
"""In My Life""",Rubber Soul,"Lennon
McCartney",Lennon,1965,,[48]
"""In Spite of All the Danger""",Anthology 1,McCartney and Harrison,Lennon,1958,,
"""The Inner Light""","UK: Rarities
US: Rarities",Harrison,Harrison,1968,"Non-album single
B-side of ""Lady Madonna""",
"""It Won't Be Long""","UK: With the Beatles
US: Meet the Beatles!","Lennon
(with McCartney)",Lennon,1963,,[7][8]
"""It's All Too Much""",Yellow Submarine,Harrison,Harrison,1967,,[9]
"""It's Only Love""","UK: Help!
US: Rubber Soul",Lennon,Lennon,1965,,[48][53]
"""I've Got a Feeling""",Let It Be,"McCartney
(with Lennon)","McCartney
(with Lennon)",1969,,[46]
"""I've Just Seen a Face""","UK: Help!
US: Rubber Soul",McCartney,McCartney,1965,,[5][54]
"""Jazz Piano Song""",Let it Be film,"McCartney
Starr",McCartney,1969,,
"""Jessie's Dream""",Magical Mystery Tour,"Lennon, McCartney, Harrison, Starr",Instrumental,1967,,
"""Johnny B. Goode""",Live at the BBC,Chuck Berry,Lennon,1964,Cover,
"""Julia""",The Beatles,Lennon,Lennon,1968,,[30]
"""Junk""",Anthology 3,McCartney,McCartney,1968,,
"""Kansas City/Hey-Hey-Hey-Hey!""","UK: Beatles for Sale
US: Beatles VI",Jerry Leiber and Mike Stoller/Little Richard,McCartney,1964,Cover,[20][24]
"""Keep Your Hands Off My Baby""",Live at the BBC,"Gerry Goffin
Carole King",Lennon,1963,Cover,
"""Komm, gib mir deine Hand""","UK: Rarities
US: Something New","Lennon
McCartney
Jean Nicolas
Heinz Hellmer","Lennon
McCartney",1964,"Non-album single
German version of ""I Want to Hold Your Hand""",[12]
"""Lady Madonna""","UK: 1967-1970
US: Hey Jude","McCartney
(with Lennon)",McCartney,1968,Non-album single,
"""Leave My Kitten Alone""",Anthology 1,"Little Willie John
Titus Turner
James McDougall",Lennon,1964,Cover,
"""Lend Me Your Comb""",Anthology 1,"Kay Twomey
Fred Wise
Ben Weisman","Lennon
McCartney",1963,Cover,
"""Let It Be""",Let It Be,McCartney,McCartney,1969,,[4]
"""Like Dreamers Do""",Anthology 1,McCartney,McCartney,1962,Recorded by The Applejacks,
"""Little Child""","UK: With the Beatles
US: Meet the Beatles!","Lennon
McCartney","Lennon
McCartney",1963,,[7][40]
"""Lonesome Tears in My Eyes""",Live at the BBC,"Johnny Burnette
Dorsey Burnette
Paul Burlison
Al Mortimer",Lennon,1963,Cover,
"""The Long and Winding Road""",Let It Be,McCartney,McCartney,1969,,[46]
"""Long, Long, Long""",The Beatles,Harrison,Harrison,1968,,[29]
"""Long Tall Sally""","UK: Long Tall Sally EP
US: The Beatles' Second Album","Robert ""Bumps"" Blackwell
Enotris Johnson
Little Richard",McCartney,1964,"Non-album single
Cover",[50][51]
"""Looking Glass""",,McCartney,McCartney,1962,,
"""Love Me Do""","UK: Please Please Me
US: The Early Beatles","McCartney
(with Lennon)","McCartney
(with Lennon)",1962,featuring Andy White on drums,[19]
"""Love of the Loved""",,"McCartney
(with Lennon)",McCartney,1962,"Single by Cilla Black
(September 1963)",
"""Love You To""",Revolver,Harrison,Harrison,1966,,[43]
"""Lovely Rita""",Sgt. Pepper's Lonely Hearts Club Band,McCartney,McCartney,1967,,[36]
"""Lucille""",Live at the BBC,"Little Richard
Albert Collins",McCartney,1963,Cover,
"""Lucy in the Sky with Diamonds""",Sgt. Pepper's Lonely Hearts Club Band,Lennon,Lennon,1967,,[28]
"""Madman""",N/A,Lennon,Lennon,1969,From Get Back/Let It Be sessions,
"""Maggie Mae""",Let It Be,"Traditional, arr. Lennon, McCartney
Harrison, Starr","Lennon
(with McCartney)",1969,Cover,[4]
"""Magical Mystery Tour""",Magical Mystery Tour,"McCartney
(with Lennon)","McCartney
(with Lennon)",1967,,[31]
"""Mailman, Bring Me No More Blues""",Anthology 3,"Ruth Roberts
Bill Katz
Stanley Clayton",Lennon,1969,Cover,
"""Martha My Dear""",The Beatles,McCartney,McCartney,1968,,[30]
"""Matchbox""","UK: ""Long Tall Sally"" EP
US: Something New","Carl Perkins
Blind Lemon Jefferson",Starr,1964,Cover,[55][18]
"""Maxwell's Silver Hammer""",Abbey Road,McCartney[56],McCartney[57],1969,,[34]
"""Mean Mr. Mustard""",Abbey Road,Lennon[58],"Lennon
(with McCartney)",1969,,[27]
"""Memphis, Tennessee""",Live at the BBC,Chuck Berry,Lennon,1963,Cover,
"""Michelle""",Rubber Soul,"McCartney
(with Lennon)",McCartney,1965,,[41]
"""Misery""","UK: Please Please Me
US: Introducing… The Beatles","Lennon
(with McCartney)",Lennon and McCartney,1963,,[15]
"""Money (That's What I Want)""","UK: With the Beatles
US: The Beatles Second Album","Berry Gordy
Janie Bradford",Lennon,1963,Cover,[37][38]
"""Moonlight Bay""",Anthology 1,"Percy Wenrich
Edward Madden","Lennon
McCartney
Harrison
Eric Morecambe
Ernie Wise",1963,Performed on the Morecambe and Wise Show in 2/12/63,
"""Mother Nature's Son""",The Beatles,McCartney,McCartney,1968,,[29]
"""Mr. Moonlight""","UK: Beatles for Sale
US: Beatles '65",Roy Lee Johnson,Lennon,1964,Cover,[20][21]
"""The Night Before""",Help!,McCartney,McCartney,1965,,[16]
"""No Reply""","UK: Beatles for Sale
US: Beatles '65","Lennon
(with McCartney)","Lennon
(with McCartney)",1964,,[20][21]
"""Norwegian Wood (This Bird Has Flown)""",Rubber Soul,"Lennon
(with McCartney)",Lennon,1965,,[41]
"""Not a Second Time""","UK: With the Beatles
US: Meet the Beatles!",Lennon,Lennon,1963,,[37][40]
"""Not Guilty""",Anthology 3,Harrison,Harrison,1968,,
"""Nothin' Shakin' (But the Leaves on the Trees)""",Live at the BBC,Eddie Fontaine,Harrison,1963,Cover,
"""Nowhere Man""","UK: Rubber Soul
US: Yesterday and Today","Lennon
(with McCartney)","Lennon
(with McCartney and Harrison)",1965,,[41][6]
"""Ob-La-Di, Ob-La-Da""",The Beatles,McCartney,McCartney,1968,,[22]
"""Octopus's Garden""",Abbey Road,Starkey[c],Starr,1969,,[34]
"""Oh! Darling""",Abbey Road,McCartney[32],McCartney[59],1969,,[34]
"""Old Brown Shoe""","UK: 1967–1970
US: Hey Jude",Harrison,Harrison,1969,"Non-album single
B-side of ""The Ballad of John and Yoko""",
"""One After 909""",Let It Be,Lennon,"Lennon
(with McCartney)",1969,,[46]
"""One and One Is Two""",,McCartney,McCartney,1964,"Single by The Strangers with Mike Shannon
(May 1964)",
"""Only a Northern Song""",Yellow Submarine,Harrison,Harrison,1967,,[9]
"""Ooh! My Soul""",Live at the BBC,Little Richard,McCartney,1963,Cover,
"""Paperback Writer""","UK: A Collection of Beatles Oldies
US: Hey Jude",McCartney,McCartney,1966,Non-album single,[23]
"""Penny Lane""",Magical Mystery Tour,McCartney,McCartney,1966,"Double A-side single
with ""Strawberry Fields Forever""",[10]
"""Piggies""",The Beatles,Harrison,Harrison,1968,,[30]
"""Please Mr. Postman""","UK: With the Beatles
US: The Beatles' Second Album","Georgia Dobbins
William Garrett
Brian Holland
Robert Bateman
Freddie Gorman",Lennon,1963,Cover,[7][51]
"""Please Please Me""","UK: Please Please Me
US: The Early Beatles",Lennon,Lennon and McCartney,1962,Single,[15]
"""Polythene Pam""",Abbey Road,Lennon,Lennon,1969,,[27]
"""P.S. I Love You""","UK: Please Please Me
US: The Early Beatles","McCartney
(with Lennon)",McCartney,1962,,[19]
"""Rain""","UK: Rarities
US: Hey Jude",Lennon,Lennon,1966,"Non-album single
B-side to ""Paperback Writer""",
"""Real Love""",Anthology 2,Lennon,Lennon,1980,,
"""Revolution""","UK: 1967-1970
US: Hey Jude",Lennon,Lennon,1968,"Non-album single
B-side to ""Hey Jude""",
"""Revolution 1""",The Beatles,Lennon,Lennon,1968,,[35]
"""Revolution 9""",The Beatles,"Lennon
(with Ono and Harrison)",Sound Collage,1968,,[35]
"""Rip It Up / Shake, Rattle, and Roll / Blue Suede Shoes""",Anthology 3,"Robert Blackwell, John Marascalco (""Rip It Up"")
Charles Calhoun(""Shake, Rattle, and Roll"")
Carl Perkins (""Blue Suede Shoes"")","Lennon
McCartney",1969,Cover,
"""Rock and Roll Music""","UK: Beatles for Sale
US: Beatles '65",Chuck Berry,Lennon,1964,Cover,[20][21]
"""Rocky Raccoon""",The Beatles,"McCartney
(with Lennon)",McCartney,1968,,[30]
"""Roll Over Beethoven""","UK: With the Beatles
US: The Beatles' Second Album",Chuck Berry,Harrison,1963,Cover,[37][38]
"""Run for Your Life""",Rubber Soul,"Lennon
(with McCartney)",Lennon,1965,,[48]
"""Savoy Truffle""",The Beatles,Harrison,Harrison,1968,,[35]
"""Searchin'""",Anthology 1,Jerry Leiber and Mike Stoller,McCartney,1962,Cover,
"""September in the Rain""",,"Al Dubin
Harry Warren",McCartney,1962,Cover,
"""Sexy Sadie""",The Beatles,Lennon,Lennon,1968,,[29]
"""Sgt. Pepper's Lonely Hearts Club Band""",Sgt. Pepper's Lonely Hearts Club Band,McCartney,"McCartney
(with Lennon, Harrison and Starr)",1967,,[28]
"""Sgt. Pepper's Lonely Hearts Club Band (Reprise)""",Sgt. Pepper's Lonely Hearts Club Band,McCartney,"McCartney
Lennon
Harrison
Starr",1967,,[36]
"""Shakin' in the Sixties""",Unreleased,Lennon,Lennon,1969,,
"""She Came in Through the Bathroom Window""",Abbey Road,McCartney,McCartney,1969,,[27]
"""She Loves You""","UK: A Collection of Beatles Oldies
US: The Beatles Second Album","Lennon
McCartney","Lennon
McCartney",1963,Non-album single,[47][51]
"""She Said She Said""",Revolver,Lennon,Lennon,1966,,[43]
"""She's a Woman""","UK: Rarities
US: Beatles '65","McCartney
(with Lennon)",McCartney,1964,"Non-album single
B-side to ""I Feel Fine""",[45]
"""She's Leaving Home""",Sgt. Pepper's Lonely Hearts Club Band,"McCartney
(with Lennon)","McCartney
(with Lennon)",1967,,[28]
"""The Sheik of Araby""",Anthology 1,"Harry B. Smith
Francis Wheeler
Ted Snyder",Harrison,1962,Cover,
"""A Shot of Rhythm and Blues""",Live at the BBC,Terry Thompson,Lennon,1963,Cover,
"""Shout""",Anthology 1,"Rudolph Isley
Ronald Isley
O'Kelly Isley Jr.","Lennon
McCartney
Harrison
Starr",1964,Cover,
"""Sie liebt dich""","UK: Rarities
US: Rarities","Lennon
McCartney
Jean Nicolas
Lee Montogue","Lennon
McCartney",1964,"Non-album single
German version of ""She Loves You""",
"""Slow Down""","UK: ""Long Tall Sally"" EP
US: Something New",Larry Williams,Lennon,1964,"Non-album single
B-side of ""Matchbox""
Cover",[55][18]
"""So How Come (No One Loves Me)""",Live at the BBC,Felice and Boudleaux Bryant,Harrison,1963,Cover,
"""Soldier of Love (Lay Down Your Arms)""",Live at the BBC,"Buzz Cason
Tony Moon",Lennon,1963,Cover,
"""Some Other Guy""",Live at the BBC,"Jerry Leiber and Mike Stoller
Richie Barrett","Lennon
McCartney",1963,Cover,
"""Something""",Abbey Road,Harrison,Harrison[60],1969,"Double A-side single
with ""Come Together""",[34]
"""Sour Milk Sea""",Unreleased,Harrison,Harrison,1968,""White Album"" outtake,
"""Step Inside Love/Los Paranoias""",Anthology 3,"McCartney (""Step Inside Love"")
Lennon–McCartney
Harrison–Starr (""Los Paranoias"")",McCartney,1968,"""Step Inside Love"" was recorded by Cilla Black
(1968)",
"""Strawberry Fields Forever""",Magical Mystery Tour,Lennon,Lennon,1966,"Double A-side single
(with ""Penny Lane"")",[10]
"""Sun King""",Abbey Road,Lennon,"Lennon
(with McCartney and Harrison)",1969,,[27]
"""Sure to Fall (in Love with You)""",Live at the BBC,"Carl Perkins
Quinton Claunch
Bill Cantrell",McCartney,1963,Cover,
"""Sweet Little Sixteen""",Live at the BBC,Chuck Berry,Lennon,1963,Cover,
"""Take Good Care of My Baby""",,"Gerry Goffin
Carole King",Harrison,1962,Cover,
